"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fast Segmentation Algorithm of USV Accessible Area Based on Attention Fast Deeplabv3","L. Cheng; R. Xiong; J. Wu; X. Yan; C. Yang; Y. Zhang; Y. He","School of Ocean Engineering, Jiangsu Ocean University, Lianyungang, China; College of Electrical and Information Engineering, Hunan University, Changsha, China; College of Electrical and Information Engineering, Hunan University, Changsha, China; Zhuhai Yunzhou Intelligent Technology Company Ltd., Zhuhai, China; Zhuhai Yunzhou Intelligent Technology Company Ltd., Zhuhai, China; College of Electrical and Information Engineering, Hunan University, Changsha, China; College of Electrical and Information Engineering, Hunan University, Changsha, China",IEEE Sensors Journal,"31 Jul 2024","2024","24","15","24168","24177","Accessible area identification is of great significance to the intelligent navigation of unmanned surface vessels (USVs). This study focuses on the segmentation of accessible areas and obstacles using an artificial intelligence system named “CS40P” operating on Nvidia’s Jetson AGX Xavier edge computing platform. This article analyzes the limitations of many mainstream semantic segmentation methods and proposes attention fast DeeplabV3 (AF-DeeplabV3). First, this work employs fast feature extraction (FFE) to save computational costs and reduce inference time. Then, multiscale attention atrous spatial pyramid pooling (MsAASPP) is introduced to gather feature information at various depths. Finally, subtraction spatial attention (SSA) within the attention feature pyramid (AFP) is used to enhance the effective use of edge feature information. We collected a substantial amount of raw data through maritime USV navigation experiments and, through the innovative use of human-machine collaborative annotation and mosaic data augmentation methods, constructed a passable area dataset containing 11 991 images. Notably, the proposed model achieves outstanding results, with the mean intersection over union (MIoU) reaching 89.70%, surpassing DeeplabV3+ by 4.51%. Furthermore, the inference speed on PC reaches 47.62 fps, which is 15.47 fps faster than DeeplabV3+, and the image inference speed reaches 24 fps on NVIDIA.","1558-1748","","10.1109/JSEN.2024.3410403","Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2023B1515120066); Science Fund for Distinguished Young Scholars of Hunan Province(grant numbers:2023B1515120066,2022JJ10017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555512","Attention fast DeeplabV3 (AF-DeeplabV3);computer vision;deep learning;unmanned surface vessel (USV);water area segmentation","Computational modeling;Convolution;Sea surface;Real-time systems;Feature extraction;Edge computing;Decoding","","","","27","IEEE","13 Jun 2024","","","IEEE","IEEE Journals"
"Joint Trajectory and Communication Optimization for Heterogeneous Vehicles in Maritime SAR: Multi-Agent Reinforcement Learning","C. Lei; S. Wu; Y. Yang; J. Xue; Q. Zhang","Department of Electronics and Information Engineering, Harbin Institute of Technology, Shenzhen, China; Guangdong Provincial Key Laboratory of Aerospace Communication and Networking Technology, Harbin Institute of Technology, Shenzhen, China; Peng Cheng Laboratory, Shenzhen, China; Peng Cheng Laboratory, Shenzhen, China; Guangdong Provincial Key Laboratory of Aerospace Communication and Networking Technology, Harbin Institute of Technology, Shenzhen, China",IEEE Transactions on Vehicular Technology,"18 Sep 2024","2024","73","9","12328","12344","Nowadays, multiple types of equipment, including unmanned aerial vehicles (UAVs) and automatic surface vehicles (ASVs), have been deployed in maritime search and rescue (SAR). However, due to the lack of base stations (BSs), how to complete rescue while maintaining communication between vehicles is an unresolved challenge. In this paper, we design an efficient and fault-tolerant communication solution by jointly optimizing vehicles' trajectory, offloading scheduling, and routing topology for a heterogeneous vehicle system. First, we model several essential factors in maritime SAR, including the impact of ocean currents, the observational behavior of UAVs, the fault tolerance of relay networks, resource management of mobile edge computing (MEC), and energy consumption. A multi-objective optimization problem is formulated, aiming at minimizing time and energy consumption while increasing the fault tolerance of relay networks. Then, we transfer the objective into a decentralized partially observable Markov Decision Process (Dec-POMDP) and introduce multi-agent reinforcement learning (MARL) to search for a collaborative strategy. Specifically, two MARL approaches with different training styles are evaluated, and three techniques are added for improving performance, including sharing parameters, normalized generalized-advantage-estimation (GAE), and preserving-outputs-precisely-while-adaptively-rescaling-targets (Pop-Art). Experimental results demonstrate that our proposed approach, named heterogeneous vehicles multi-agent proximal policy optimization (HVMAPPO), outperforms other baselines in efficiency and fault tolerance of communication.","1939-9359","","10.1109/TVT.2024.3388499","National Key Research and Development Program of China(grant numbers:2020YFB1806403); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022B1515120002); National Natural Science Foundation of China(grant numbers:62201307); Shenzhen Science and Technology Program(grant numbers:ZDSYS20210623091808025); Major Key Project of PCL(grant numbers:PCL2024A01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499870","Maritime search and rescue (SAR);multi-agent reinforcement learning (MARL);efficiency;fault-tolerant communication;unmanned aerial vehicle (UAV);automatic surface vehicle (ASV)","Optimization;Fault tolerant systems;Fault tolerance;Autonomous aerial vehicles;Trajectory;Training;Trajectory planning","","","","42","IEEE","15 Apr 2024","","","IEEE","IEEE Journals"
"Monkey Says, Monkey Does: Security and Privacy on Voice Assistants","E. Alepis; C. Patsakis","Department of Informatics, University of Piraeus, Pireas, Greece; Department of Informatics, University of Piraeus, Pireas, Greece",IEEE Access,"26 Sep 2017","2017","5","","17841","17851","The introduction of smart mobile devices has radically redesigned user interaction, as these devices are equipped with numerous sensors, making applications context-aware. To further improve user experience, most mobile operating systems and service providers are gradually shipping smart devices with voice controlled intelligent personal assistants, reaching a new level of human and technology convergence. While these systems facilitate user interaction, it has been recently shown that there is a potential risk regarding devices, which have such functionality. Our independent research indicates that this threat is not merely potential, but very real and more dangerous than initially perceived, as it is augmented by the inherent mechanisms of the underlying operating systems, the increasing capabilities of these assistants, and the proximity with other devices in the Internet of Things (IoT) era. In this paper, we discuss and demonstrate how these attacks can be launched, analysing their impact in real world scenarios.","2169-3536","","10.1109/ACCESS.2017.2747626","European Commission under the Horizon 2020 Programme (H2020), as part of the OPERANDO project(grant numbers:653704); COST Action CRYPTACUS (IC1403); European Cooperation in Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8023746","Security;voice recognition;mobile devices;Android permissions;voice assistants","Androids;Humanoid robots;Operating systems;Mobile communication;Sensors;Security;Privacy","","116","","28","OAPA","31 Aug 2017","","","IEEE","IEEE Journals"
"Pervasive Wireless Channel Modeling Theory and Applications to 6G GBSMs for All Frequency Bands and All Scenarios","C. -X. Wang; Z. Lv; X. Gao; X. You; Y. Hao; H. Haas","National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; Purple Mountain Laboratories, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; LiFi Research and Development Center, Department Electronic and Electrical Engineering, The University of Strathclyde, Glasgow, U.K.",IEEE Transactions on Vehicular Technology,"16 Sep 2022","2022","71","9","9159","9173","In this paper, a pervasive wireless channel modeling theory is first proposed, which uses a unified channel modeling method and a unified equation of channel impulse response (CIR), and can integrate important channel characteristics at different frequency bands and scenarios. Then, we apply the proposed theory to a three dimensional (3D) space-time-frequency (STF) non-stationary geometry-based stochastic model (GBSM) for the sixth generation (6G) wireless communication systems. The proposed 6G pervasive channel model (6GPCM) can characterize statistical properties of channels at all frequency bands from sub-6 GHz to visible light communication (VLC) bands and all scenarios such as unmanned aerial vehicle (UAV), maritime, (ultra-)massive multiple-input multiple-output (MIMO), reconfigurable intelligent surface (RIS), and industry Internet of things (IIoT) scenarios. By adjusting channel model parameters, the 6GPCM can be reduced to various simplified channel models for specific frequency bands and scenarios. Also, it includes standard fifth generation (5G) channel models as special cases. In addition, key statistical properties of the proposed 6GPCM are derived, simulated, and verified by various channel measurement results, which clearly demonstrates its accuracy, pervasiveness, and applicability.","1939-9359","","10.1109/TVT.2022.3179695","National Key R&D Program of China(grant numbers:2018YFB1801101); National Natural Science Foundation of China(grant numbers:61960206006); High Level Innovation and Entrepreneurial Research Team Program; High Level Innovation and Entrepreneurial Talent Introduction Program; EU H2020 RISE TESTBED2 project(grant numbers:872172); Engineering and Physical Sciences Research Council(grant numbers:EP/R007101/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9786750","Pervasive wireless channel modeling theory;6G pervasive channel model;GBSM;space-time-frequency non-stationarity;statistical properties","6G mobile communication;Channel models;Wireless communication;Mathematical models;MIMO communication;Antenna arrays;Solid modeling","","99","","55","IEEE","2 Jun 2022","","","IEEE","IEEE Journals"
"Cellular Communications in Ocean Waves for Maritime Internet of Things","Y. Huo; X. Dong; S. Beatty","Department of Electrical and Computer Engineering, University of Victoria, Victoria, Canada; Department of Electrical and Computer Engineering, University of Victoria, Victoria, Canada; MarineLabs Data Systems, Inc., Victoria, Canada",IEEE Internet of Things Journal,"9 Oct 2020","2020","7","10","9965","9979","The rapid advancement of Internet of Things (IoT) and fifth generation and beyond technologies is transforming the marine industry and research. Our understanding of the vast sea that covers 71% of the Earth's surface is being enhanced by the various ocean sensor networks equipped with effective communication technologies. In this article, we begin with a review of the research and development status-quo of Maritime IoT (MIoT) enabled by multiple wireless communication technologies. Then, we study the impact of sea waves on radio propagation and the communications link quality. Due to the severe attenuation of sea water to radio-frequency electromagnetic wave propagation, large ocean waves can easily block the communication link between a buoy sensor and a cell tower near shore. This article for the first time uses the ocean wave modeling of coastal and oceanic waters to examine the condition of line-of-sight communications. Real wave measurement data parameters are applied in the numerical evaluation of the developed model. Finally, the critical antenna design taking into account the wave impact is numerically studied with implementation solutions proposed, and the system hardware and protocol aspects are discussed.","2327-4662","","10.1109/JIOT.2020.2988634","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072093","Antenna;Internet of Things (IoT);machinetype communication (MTC);Maritime IoT (MIoT);near-shore communication;ocean engineering;ocean wave characterization;terrestrial-oceanic hybrid communication;wireless sensor networks","Wireless communication;Sea measurements;Internet of Things;Ocean waves;Antennas;Sea surface","","71","","43","IEEE","20 Apr 2020","","","IEEE","IEEE Journals"
"A Security Analysis Method for Industrial Internet of Things","H. Mouratidis; V. Diamantopoulou","Centre for Secure, Intelligent and Usable Systems (CSIUS), University of Brighton, Brighton, U.K.; Centre for Secure, Intelligent and Usable Systems (CSIUS), University of Brighton, Brighton, U.K.",IEEE Transactions on Industrial Informatics,"5 Sep 2018","2018","14","9","4093","4100","The industrial Internet of Things (IIoT) provide an opportunity for industries to build large interconnected systems that utilize various technologies, such as personal computers, wireless devices, and sensor devices, and bring together the cyber and the physical worlds. Such systems provide us with huge advantages but they also introduce major security challenges at both the design and runtime stages. The literature argues for the need to introduce security-by-design methods, which enable security analysis and mitigation of security threats. This paper proposes a novel security-by-design method for IIoT environments across two different levels, design/modeling, and runtime/simulation. Our method supports the analysis of security requirements and identification of attack paths and their integration for the mitigation of potential vulnerabilities. We demonstrate its applicability through a real case study on a critical environment from the maritime sector, which demonstrates that our method helps to identify security mechanisms to mitigate attacks on critical assets.","1941-0050","","10.1109/TII.2018.2832853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8353731","Attack path discovery;industrial Internet of Things (IIoT);security requirements engineering","Security;Analytical models;Risk management;Internet of Things","","60","","27","IEEE","3 May 2018","","","IEEE","IEEE Journals"
"Prediction of Fuel Consumption for Enroute Ship Based on Machine Learning","Z. Hu; Y. Jin; Q. Hu; S. Sen; T. Zhou; M. T. Osman","Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China",IEEE Access,"2 Sep 2019","2019","7","","119497","119505","Due to the hike in fuel price and environmental awareness by the International Maritime Organization, more attention has been given in order to optimize the fuel consumption of ships. The capability to predict the fuel consumption of ships plays a significant role in the optimization process. To date, most research on predicting ship fuel consumption did not consider marine environmental factors such as wind, wave, current, and etc. Furthermore, traditional statistical methods on predicting ship fuel consumption have low accuracy. In this paper, two different sets of data showing the fuel consumption of a voyage ship with and without the influence of marine environmental factors were obtained. The Back-Propagation Neural Network (BPNN) and Gaussian Process Regression (GPR) techniques in machine learning were used to train and predict the two datasets. Thereafter, the predictive performance of these two techniques was compared and analyzed. Results showed that both techniques were able to accurately predict the ship fuel consumption, especially on the dataset with the influence of marine environmental factors. Quantitatively, the mean prediction accuracy for GPR (mean R2 = 0.9887) is slightly higher than BPNN (mean R2 = 0.9817). However, GPR requires longer runtime (mean T = 2236.4 s) compared to BPNN (mean T = 14.7 s). Due to the longer runtime, GPR is less preferable for online and real-time prediction of enroute ship fuel consumption. The ship real-time fuel consumption data can be accurately predicted by machine learning, which will be beneficial to achieve the goal of ship fuel consumption optimization and greenhouse gas emission reduction in the future.","2169-3536","","10.1109/ACCESS.2019.2933630","Science and Technology Commission of Shanghai Municipality(grant numbers:18DZ1206300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8790676","Machine learning;Gaussian process regression;back-propagation neural network;enroute ship;fuel consumption prediction","Marine vehicles;Fuels;Machine learning;Environmental factors;Ground penetrating radar;Real-time systems;Wind speed","","55","","25","CCBY","7 Aug 2019","","","IEEE","IEEE Journals"
"Satellite Machine-Type Communication for Maritime Internet of Things: An Interference Perspective","T. Xia; M. M. Wang; X. You","Wireless Networking and Mobile Communications Group, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China",IEEE Access,"21 Jun 2019","2019","7","","76404","76415","Satellite machine-type communication plays a crucial role in the maritime Internet of Things. The realization of such a system, i.e., the VHF data exchange (VDES) satellite system, however, faces many technical challenges. Due to its global broadcasting nature, the interference generated from the emissions of the VDES satellite space stations to the incumbent or future land systems in the same band is of major concern to the International Telecommunication Union (ITU) spectrum allocation. However, neither regulatory rules nor related studies have been specified or made available in the literature regarding such interference. This paper utilizes the electromagnetic power flux density (PFD) mask concept for evaluating and constraining the emission onto earth from a satellite space station. The mathematical analysis and derivation are based on the principle that the actual interference from a space station that a land system experiences is no worse than that from any other land system allowed by the regulations. We demonstrate the derivation of such a PFD mask from three closely related regulations on the legacy land mobile systems by the Electronic Communications Committee (ECC) and ITU and present the corresponding constraints imposed on the VDES satellite system and their impacts on the performance of the system.","2169-3536","","10.1109/ACCESS.2019.2919253","National Natural Science Foundation of China(grant numbers:61771128); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8723373","Maritime Internet of Things;e-navigation;maritime machine-type communication","Satellite broadcasting;Interference;Space stations;Marine vehicles;ITU;Internet of Things;Artificial intelligence","","36","","28","OAPA","27 May 2019","","","IEEE","IEEE Journals"
"Space-Air-Ground Integrated Network Resource Allocation Based on Service Function Chain","P. Zhang; P. Yang; N. Kumar; M. Guizani","College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology (Deemed to be University), Patiala, India; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, UAE",IEEE Transactions on Vehicular Technology,"15 Jul 2022","2022","71","7","7730","7738","Future communication networksrequire higher bandwidth, greater coverage, and better throughput. The Space-Air-Ground Integrated Network (SAGIN) has the advantage of wide-area coverage and can cover global communications. It can meet the needs of network resources for maritime activities and remote mountainous areas, which is of great significance to the realization of a new generation of communications networks. With the development of the network and the emergence of delay-sensitive applications such as the Internet of Things, improving the delay performance of the system has received extensive attention. SAGIN involves multiple networks and is more complex than other networks. If there is no reasonable management between different networks, it is easy to lead to difficult link deployment and high time delay. On the basis of research and customization of SFC technology, it can provide a wide range of services and other advantages. It has significant performance in application scenarios involving multi network integration. In order to solve the above problems, this paper studies the SAGIN architecture of SFC based on business types. A service function chain mapping method based on delays prediction is proposed. Calculate the delay of the deployment path and select the path with the lowest delay as the SFC mapping path. The service model is constructed according to the mapping path, and the network slices are divided based on the service type. The simulation results show that the SFC mapping algorithm based on time delay prediction is compared with the traditional SFC mapping scheme. The algorithm does not affect other indicators, the CPU resource utilization rate is 27.8$\%$ higher, and the link resource utilization rate is 22.7$\%$ higher. The service acceptance rate increased by 21.5$\%$, the latency performance increased by 38.2$\%$, and the total resource consumption is reduced by 25.2$\%$.","1939-9359","","10.1109/TVT.2022.3165145","Natural Science Foundation of Shandong Province(grant numbers:ZR2020MF006); Industry-university Research Innovation Foundation of Ministry of Education of China(grant numbers:2021FNA01001); Major Scientific and Technological Projects of CNPC(grant numbers:ZD2019-183-006); Open Foundation of State Key Laboratory of Integrated Services Networks(grant numbers:ISN23-09); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9749937","Space-air-ground integrated network;service function chain;delay sensitive;resource allocation","Delays;Resource management;Satellites;Internet of Things;Business;Task analysis;Delay effects","","30","","38","IEEE","5 Apr 2022","","","IEEE","IEEE Journals"
"DisBezant: Secure and Robust Federated Learning Against Byzantine Attack in IoT-Enabled MTS","X. Ma; Q. Jiang; M. Shojafar; M. Alazab; S. Kumar; S. Kumari","School of Cyber Engineering, Xidian University, Xi’an, China; School of Cyber Engineering, Xidian University, Xi’an, China; 5GIC & 6GIC, Institute for Communication Systems (ICS), University of Surrey, Guildford, U.K; College of Engineering, IT & Environment, Charles Darwin University, Casuarina, NT, Australia; Department of Computer Science and Engineering, Ajay Kumar Garg Engineering College, Ghaziabad, India; Department of Mathematics, Chaudhary Charan Singh University, Meerut, Uttar Pradesh, India",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2492","2502","With the intelligentization of Maritime Transportation System (MTS), Internet of Thing (IoT) and machine learning technologies have been widely used to achieve the intelligent control and routing planning for ships. As an important branch of machine learning, federated learning is the first choice to train an accurate joint model without sharing ships’ data directly. However, there are still many unsolved challenges while using federated learning in IoT-enabled MTS, such as the privacy preservation and Byzantine attacks. To surmount the above challenges, a novel mechanism, namely DisBezant, is designed to achieve the secure and Byzantine-robust federated learning in IoT-enabled MTS. Specifically, a credibility-based mechanism is proposed to resist the Byzantine attack in non-iid (not independent and identically distributed) dataset which is usually gathered from heterogeneous ships. The credibility is introduced to measure the trustworthiness of uploaded knowledge from ships and is updated based on their shared information in each epoch. Then, we design an efficient privacy-preserving gradient aggregation protocol based on a secure two-party calculation protocol. With the help of a central server, we can accurately recognise the Byzantine attackers and update the global model parameters privately. Furthermore, we theoretically discussed the privacy preservation and efficiency of DisBezant. To verify the effectiveness of our DisBezant, we evaluate it over three real datasets and the results demonstrate that DisBezant can efficiently and effectively achieve the Byzantine-robust federated learning. Although there are 40% nodes are Byzantine attackers in participants, our DisBezant can still recognise them and ensure the accurate model training.","1558-0016","","10.1109/TITS.2022.3152156","National Natural Science Foundation of China(grant numbers:61902290,62072352,61872283,61902291,62072487); Key Research and Development Program of Shaanxi(grant numbers:2020ZDLGY09-06,2019ZDLGY12-04); National Statistical Science Foundation of China(grant numbers:2020LD01); Scientific Research Program Funded by Shaanxi Provincial Education Department(grant numbers:20JY016); Guangxi Key Laboratory of Trusted Software(grant numbers:kx202004); Beijing Natural Science Foundation(grant numbers:M21036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9723014","IoT-enabled MTS;federated learning;privacy preservation;Byzantine-robust learning;credibility","Marine vehicles;Collaborative work;Privacy;Training;Cryptography;Resists;Protocols","","24","","45","IEEE","28 Feb 2022","","","IEEE","IEEE Journals"
"Early Warning Obstacle Avoidance-Enabled Path Planning for Multi-AUV-Based Maritime Transportation Systems","G. Han; X. Qi; Y. Peng; C. Lin; Y. Zhang; Q. Lu","Department of Internet of Things Engineering, Hohai University, Changzhou, China; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, China; Artificial Intelligence Institute, Shanghai University, Shanghai, China; Software College, Northeastern University, Shenyang, China; Department of Aeronautical and Automotive Engineering, Loughborough University, Loughborough, U.K.; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, China",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2656","2667","As a prototype of the underwater Internet of Things-enabled maritime transportation systems, multi-Autonomous Underwater Vehicle (AUV)-based Underwater Wireless Networks (UWNs) have become an important research topic due to their distribution and robustness. In this paper, the concept of multi-AUV-based UWNs is first defined, where AUV is regarded as a network node, and communication among the AUVs is the potential network links. Then, to improve network scalability and controllability, a paradigm of Software Defined multi-AUV-based UWNs (SD-UWNs) is proposed, where the Software Defined Network (SDN) technique is used to upgrade the UWN architecture by directing intelligent network functions. Topology and artificial potential field theories are applied to construct a network control model for the SD-UWNs. Based on the efficient data sharing ability of the SD-UWNs, an early warning obstacle avoidance-enabled path planning scheme is proposed to guarantee safe sailing of the SD-UWNs, where comprehensive obstacle avoidance scenarios are taken into account. Simulation results demonstrate that the proposed method is effective in planning the cooperative operation for the SD-UWNs and is capable of performing accurate and reliable obstacle avoidance tasks.","1558-0016","","10.1109/TITS.2022.3157436","Natural Science Foundation of China(grant numbers:62072072,62002045); Joint Funds of the National Natural Science Foundation of China(grant numbers:U1813217); China Postdoctoral Science Foundation(grant numbers:2021M690565); Fundamental Research Funds for the Central Universities(grant numbers:N2117002); Open Fund of State Key Laboratory of Acoustics(grant numbers:SKLA202102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9737393","Underwater Internet of Things;underwater wireless networks;autonomous underwater vehicle;software defined network;path planning;safe sailing","Path planning;Software;Network architecture;Task analysis;Planning;Computer architecture;Collision avoidance","","20","","39","IEEE","17 Mar 2022","","","IEEE","IEEE Journals"
"Fast Trajectory Planning for UAV-Enabled Maritime IoT Systems: A Fermat-Point Based Approach","L. Lyu; Z. Chu; B. Lin; Y. Dai; N. Cheng","School of Information Science and Technology, Dalian Maritime University, Dalian, China; School of Information Science and Technology, Dalian Maritime University, Dalian, China; School of Information Science and Technology, Dalian Maritime University, Dalian, China; School of Information Science and Technology, Dalian Maritime University, Dalian, China; School of Telecommunication Engineering, Xidian University, Xi’an, China",IEEE Wireless Communications Letters,"9 Feb 2022","2022","11","2","328","332","This letter proposes a fast Unmanned Aerial Vehicle (UAV) trajectory planning algorithm based on the Fermat-point theory in maritime Internet of Things systems. Specifically, we first construct Delaunay triangles based on the deployment of unmanned surface vehicles. Then, the Fermat point of each Delaunay triangle is calculated and as a hovering point of UAVs to improve the channel condition. Finally, the trajectory planning problem can be transformed into a vehicle routing problem with pickup, which is solved by the proposed algorithm based on C-W saving method. Simulation results show the proposed algorithm can efficiently increase collected data volume of UAVs.","2162-2345","","10.1109/LWC.2021.3127205","National Key Research and Development Program of China(grant numbers:2019YFE0111600); National Natural Science Foundation of China(grant numbers:62002042,61971083,62101089,51939001,62071356); Liaoning Revitalization Talents Program(grant numbers:XLYC2002078); China Postdoctoral Science Foundation(grant numbers:2021M690022); Dalian Science and Technology Innovation Fund(grant numbers:2019J11CY015); Fundamental Research Funds for Central Universities(grant numbers:3132021223,313202137); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9611538","Maritime IoT systems;trajectory planning;UAV-enabled data collection;fermat-point","Trajectory planning;Unmanned aerial vehicles;Monitoring;Trajectory;Sea surface;Propellers;Internet of Things","","16","","12","IEEE","11 Nov 2021","","","IEEE","IEEE Journals"
"Impacts of COVID-19 on Ship Behaviours in Port Area: An AIS Data-Based Pattern Recognition Approach","C. Wang; G. Li; P. Han; O. Osen; H. Zhang","Department of Ocean Operations and Civil Engineering, Norwegian University of Science and Technology, Ålesund, Norway; Department of Ocean Operations and Civil Engineering, Norwegian University of Science and Technology, Ålesund, Norway; Department of Ocean Operations and Civil Engineering, Norwegian University of Science and Technology, Ålesund, Norway; Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Ålesund, Norway; Department of Ocean Operations and Civil Engineering, Norwegian University of Science and Technology, Ålesund, Norway",IEEE Transactions on Intelligent Transportation Systems,"6 Dec 2022","2022","23","12","25127","25138","The advent of the COVID-19 pandemic disrupted global commercial activities and the tourism industry heavily. Impacts on maritime transportation were huge, as seaborne trade represents over 80% of global merchandise trade. Investigating how COVID-19 has affected ship behaviours is significant for economic condition evaluation, port management. This paper develops an analysis method to mine knowledge from raw Automation Identification System (AIS) data. First, berths are identified by improved density-based spatial clustering of applications with noise by Pythagoras distance (PD-DBSCAN). Data features, such as ship deadweight, arrival time, dwelling time, ship types, etc., can then be extracted using information matching and statistical analysis. Next, the dynamic time warping method is employed to analyse abnormal ship behaviour patterns and quantify the impacts of COVID-19. After that, a significance test is employed to determine an impact threshold through year-on-year analysis on ship flow, daily throughout and berthing time of quays. Finally, statistical analysis is used for the short-term impact analysis. This research examines a case study based on four-year AIS data in the Oslo port area. The results show that the proposed method can identify abnormal patterns caused by COVID-19 and estimate its impacts. Passenger ships are influenced heavily compared with cargo ships. The variation of passenger ships’ flow is over 90% during 2020, larger than the average variation before 2020. The discovered knowledge could be used for future decision-making and preplanning in the next health crisis.","1558-0016","","10.1109/TITS.2022.3147377","IKTPLUSS Project “Remote Control Centre for Autonomous Ship Support”(grant numbers:309323); Centre for Research Based Innovation “SFI Marine Operation in Virtual Environment (SFI-MOVE)”(grant numbers:237929); Norges Forskningsråd; Chinese Scholarship Council through the Norwegian University of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706415","COVID-19;PD-DBSCAN;dynamic time warping;significance test;statistical analysis;AIS data","Marine vehicles;Artificial intelligence;Seaports;COVID-19;Feature extraction;Statistical analysis;Pandemics;Statistical analysis;Behavioral sciences","","15","","32","IEEE","7 Feb 2022","","","IEEE","IEEE Journals"
