"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Double-Edge Computation Offloading for Secure Integrated Space–Air–Aqua Networks","","Wang, Dawei; He, Tianmi; Yi, Lou; Pang, Linna; He, Yixin; Hsiao-Hwa, Chen","IEEE Internet of Things Journal","Scholarly Journals","","10","17","2023-01-01","2023","15581","","15581-15593","23274662","","","ENG","Space–air–aqua integrated network (SAAIN) is an emerging maritime network architecture to support reliable and timely communications. Considering the computation capability and information security in maritime transportation systems, this work proposes a double-edge secure offloading scheme, where both base-station (BS) and satellites provide secure mobile-edge computing services for delay-sensitive applications. Specifically, maritime mobile users may offload their computation tasks adaptively to the BS or satellites securely relayed by unmanned aerial vehicles (UAVs). To minimize offloading delay, we formulate an optimization problem to allocate the transmit power cooperatively via UAVs’ trajectory optimization. Moreover, jamming UAVs are deployed to protect the offloading process. For such a nonconvex optimization problem, two iterative algorithms are proposed to determine the transmit power and design the UAVs’ trajectories. Numerical results show the effectiveness of the proposed scheme in terms of offloading delay.","https://www.proquest.com/docview/2855722931?accountid=44943&bdid=84593&_bd=VuCj3GMkoiUqM4uzkPNUBSfpe4g%3D","https://doi.org/10.1109/JIOT.2023.3264694"
"Early Warning Obstacle Avoidance-Enabled Path Planning for Multi-AUV-Based Maritime Transportation Systems","","Han, Guangjie; Xingyue Qi; Peng, Yan; Lin, Chuan; Zhang, Yu; Lu, Qi","IEEE Transactions on Intelligent Transportation Systems","Scholarly Journals","","24","2","2023-01-01","2023","2656","","2656-2667","15249050","","","ENG","As a prototype of the underwater Internet of Things-enabled maritime transportation systems, multi-Autonomous Underwater Vehicle (AUV)-based Underwater Wireless Networks (UWNs) have become an important research topic due to their distribution and robustness. In this paper, the concept of multi-AUV-based UWNs is first defined, where AUV is regarded as a network node, and communication among the AUVs is the potential network links. Then, to improve network scalability and controllability, a paradigm of Software Defined multi-AUV-based UWNs (SD-UWNs) is proposed, where the Software Defined Network (SDN) technique is used to upgrade the UWN architecture by directing intelligent network functions. Topology and artificial potential field theories are applied to construct a network control model for the SD-UWNs. Based on the efficient data sharing ability of the SD-UWNs, an early warning obstacle avoidance-enabled path planning scheme is proposed to guarantee safe sailing of the SD-UWNs, where comprehensive obstacle avoidance scenarios are taken into account. Simulation results demonstrate that the proposed method is effective in planning the cooperative operation for the SD-UWNs and is capable of performing accurate and reliable obstacle avoidance tasks.","https://www.proquest.com/docview/2774333928?accountid=44943&bdid=84593&_bd=Z%2BL99TeSpa%2FW8bi%2BOCp%2Ba5fCXFc%3D","https://doi.org/10.1109/TITS.2022.3157436"
"Joint Multi-Domain Resource Allocation and Trajectory Optimization in UAV-Assisted Maritime IoT Networks","","Qian, Li Ping; Zhang, Hongsen; Wang, Qian; Wu, Yuan; Lin, Bin","IEEE Internet of Things Journal","Scholarly Journals","","10","1","2023-01-01","2023","539","","539-552","23274662","","","ENG","The integration of Maritime Internet of Things (M-IoT) technology and unmanned aerial/surface vehicles (UAVs/USVs) has been emerging as a promising navigational information technique in intelligent ocean systems. In this article, we consider the UAV-assisted M-IoT network where USVs offload computation-intensive maritime tasks via non-orthogonal multiple access (NOMA) to the UAV equipped with the mobile-edge computing (MEC) server subject to the UAV mobility. To improve the energy efficiency of offloading transmission and workload computation, we focus on minimizing the total energy consumption by jointly optimizing the USVs’ offloaded workload, transmit power, computation resource allocation, as well as the UAV trajectory subject to the USVs’ latency requirements. Despite the nature of mixed discrete and non-convex programming of the formulated problem, we exploit the vertical decomposition and propose a two-layered algorithm for solving it efficiently. Specifically, the top-layered algorithm is proposed to solve the problem of optimizing the UAV trajectory based on the idea of deep reinforcement learning (DRL), and the underlying algorithm is proposed to optimize the underlying multidomain resource allocation problem based on the idea of the Lagrangian multiplier method. Numerical results are provided to validate the effectiveness of our proposed algorithms as well as the performance advantage of NOMA-enabled computation offloading in terms of overall energy consumption.","https://www.proquest.com/docview/2757176874?accountid=44943&bdid=84593&_bd=0id6MhteXRN0cOsa%2FpcZT0N2gVM%3D","https://doi.org/10.1109/JIOT.2022.3201017"
"Multiparametric sea state fields from synthetic aperture radar for maritime situational awareness","","Pleskachevsky, Andrey; Tings, Björn; Wiehle, Stefan; Imber, James; Jacobsen, Sven","Remote sensing of environment","Undefined","Elsevier Inc.","280 p.113200-","","2022-10-01","Oct 2022","","","","0034-4257","0034-4257","","ENG","This paper introduces a method for estimating a series of sea state parameters from satellite-borne synthetic aperture radar (SAR). The method was realized in a near real time (NRT) application which allows for the processing of data from different satellites and modes. The algorithm estimates the total significant wave height Hₛ, dominant and secondary swell and windsea wave heights, first, and second moment wave periods, the mean wave period and the period of wind sea. The algorithm was applied to the Sentinel-1 (S1) C-band Interferometric Wide Swath Mode (IW), Extra Wide (EW) and Wave Mode (WV) Level-1 (L1) products and also extended to X-band TerraSAR-X (TS-X) StripMap (SM) products. The scenes are processed in raster and result in continuous sea state fields, with the exception of S1 WV, where averaged values for sea state parameters for along-orbit imagettes of 20 km × 20 km are presented. The developed empirical algorithm consists of two parts: a first CWAVE_EX (extended CWAVE) part, based on a linear regression approach, and a subsequent machine learning part using the support vector machine (SVM) technique. A series of new data preparation steps (i.e. filtering, denoising) and new features estimated from SAR images are also introduced. The algorithm was tuned and validated using two independent global wave model hindcasts, WaveWatch-3 and MFWAM as well as National Data Buoy Center (NDBC) measurements. The achieved root mean squared errors (RMSE) for CWAVE_EX for the total Hₛ are 0.60 m for low-resolution modes S1 IW (10 m pixel) and EW (40 m pixel) and 0.35 m for S1 WV and TS-X SM (pixel spacing ca.1–4 m) in comparison to model predictions. The RMSEs of the retrieved wave periods are in the range of 0.45–0.90 s for all of the satellites and models considered. Similarly, the dominant and secondary swell, and wind sea wave height RMSEs are in the range of 0.35–0.80 m. The SVM postprocessing improves the accuracy of the initial results of CWAVE_EX for Hₛ and reaches an RMSE of 0.25 m for S1 WV. Comparisons to 64 NDBC buoys, collocated at distances shorter than 50 km to S1 WV imagettes worldwide, result in an RMSE of 0.41 m. All results and the methods presented are novel in terms of the accuracy achieved, combining the classical approach with machine learning techniques, and performing an automatic NRT processing of multiparametric sea state fields from L1 data with automatic switching for different satellites and modes. The complete archive of S1 WV L1 Single Look Complex products from December 2014 until February 2021 was processed to create a sea state parameter database and validated using model hindcast and buoy measurements. The derived parameters are available to the public within the scope of the European Space Agency's Climate Change Initiative.","https://www.proquest.com/docview/2718336287?accountid=44943&bdid=84593&_bd=4gN%2BHEahS1%2B0GuvV5Ll9dQBWAOk%3D","https://doi.org/10.1016/j.rse.2022.113200"
"Learned Upper Bounds for the Time-Dependent Travelling Salesman Problem","","Adamo, Tommaso; Ghiani, Gianpaolo; Greco, Pierpaolo; Guerriero, Emanuela","IEEE Access","Scholarly Journals","","11","","2023-01-01","2023","2001","","2001-2011","21693536","","","ENG","Fleet management plays a central role in several application contexts such as distribution planning, mail delivery, garbage collection, salt gritting, field service routing. Since road congestion has a big impact on driving times, fleet management can be enhanced by taking into account data on current traffic conditions. Today, most carriers gather high-quality historical traffic data by using global position system information. These data serve as an input for defining time-dependent travel times, i.e. travel times changing according to traffic conditions throughout the day. Given a fixed-size fleet of vehicles and a graph with arc traversal times varying over time, Time-Dependent Vehicle Routing Problems aim to select the best routes while minimizing the travelling costs. The basic version with only one route is usually referred to as the Time-Dependent Travelling Salesman Problem. The main goal of this work is to define tight upper bounds for this problem by reusing the information gained when solving instances with similar features. This is customary in distribution management, where vehicle routes have to be generated over and over again with similar input data. To this aim, the authors devise an upper bounding technique based on the solution of a classical (and simpler) time-independent Asymmetric Travelling Salesman Problem, where the constant arc costs are suitably defined by the combined use of a Linear Program and a mix of unsupervised and supervised Machine Learning techniques. The effectiveness of this approach has been assessed through a computational campaign on the real travel time functions of two European cities: Paris and London. The overall average gap between the proposed heuristic and the best-known solutions is about 0.001%. For 31 instances, new best solutions have been obtained.","https://www.proquest.com/docview/2763813997?accountid=44943&bdid=84593&_bd=jWfFfZdDOnGS6ep4fVByMef5lCQ%3D","https://doi.org/10.1109/ACCESS.2022.3233852"
"Software Standardization and Infrastructure Development Efforts in Support of Unmanned Maritime Vehicle Autonomy","","Olena, Jessica","Naval Engineers Journal","Scholarly Journals","","135","1","2023-03-01","Mar 2023","41","","41-45","00281425","","","ENG","The Department of the Navy Unmanned Campaign Framework published in March, 2021, emphasized that while unmanned surface and undersea vehicles will play important roles in future conflicts, the development of a set of key enabling capabilities and core technologies are essential to fully realize the warfighting opportunity that unmanned vehicles present. The ability to achieve “Repetitive and Routine Automation; Enduring and Persistent Effects; and New Concepts with Unmanned Systems” rests on taking advantage of modern software development practices at scale to enable the delivery of software products aligned to unmanned vehicle capability at the speed of need. The Unmanned Maritime Systems Program Office (PMS 406), within PEO Unmanned and Small Combatants, has invested in two foundational initiatives; Unmanned Maritime Autonomy Architecture (UMAA) standards and the Rapid Autonomy Integration Lab (RAIL). These initiatives intended to demonstrate software standards and infrastructure, can serve as catalysts for the demonstration of new capabilities for unmanned maritime vehicles.","https://www.proquest.com/docview/2804697716?accountid=44943&bdid=84593&_bd=5A34dBRcS9pEjt%2FMhY5Ln3PHi1Q%3D",""
"A Data-Intelligent Scheme Toward Smart Rescue and Micro-Services","","Zaman, Nafees; Ahmad Abu Saiid; Rahman, Md Arafatur; Askar, Shavan; Jasni Mohamad Zain","IEEE Access","Scholarly Journals","","11","","2023-01-01","2023","27086","","27086-27098","21693536","","","ENG","A considerable portion of the world frequently experiences flooding during the monsoon season. As a result of this catastrophic event, hundreds of individuals have become homeless. In addition, rescuers are not usually effective enough to rescue the majority of victims. This is due to inadequate rescue operations infrastructure, a severe flaw in today’s technologically advanced society. This manuscript proposes a microservice-dependent secure rescue framework that uses geographic information system mapping with a K-Means clustering algorithm to identify flood-prone regions. Numerous microservices, such as fleet management, cloud computing, and data security, integrate and execute the framework in pre- and post-flood situations. Labeling data from the proposed framework generates a support vector machine-based classifier for predicting flood risk. Furthermore, a hybrid A* algorithm is developed to find an optimal route for the rescue operation. Based on the K-means clustering results, which reduced the variance by 89.2 percent overall, dividing the data into six clusters was the best option for this study. The smoothness of the suggested hybrid algorithm is also used to verify its superiority.","https://www.proquest.com/docview/2790137626?accountid=44943&bdid=84593&_bd=VCyk4d5ZIH3DTD1Rc%2BHxaMK3cHc%3D","https://doi.org/10.1109/ACCESS.2023.3257429"
"Public Policy Challenges, Regulations, Oversight, Technical, and Ethical Considerations for Autonomous Systems: A Survey","","Neshat Elhami Fard; Selmic, Rastko R; Khorasani, Khashayar","IEEE Technology & Society Magazine","Scholarly Journals","","42","1","2023-01-01","2023","45","","45-53","02780097","","","ENG","One of the main features of autonomous control systems is solving complicated optimization problems without human intervention in the presence of uncertainty in real time [1] . Autonomous systems (ASs) must have the recognition and discretion potency, evaluation and estimate authority, and decision-making power to independently perform various tasks in a dynamic environment [3] . These systems have a variety of sensors to understand environmental information so that they can distinguish, evaluate, and make decisions based on them [2] . In addition to an autonomous single-agent system, the AS can be designed in the form of multiagents to identify high-risk, hazardous, or inaccessible areas [3] , [4] . Robotics and AS fields have led to significant advances in a wide range of areas, including unmanned ground vehicles (UGVs), unmanned aerial vehicles (UAVs), unmanned maritime vehicles (UMVs), artificial intelligence (AI), and self-learning machines [5] . Navigation [6] , [7] , 3-D path following [8] for autonomous underwater vehicles (AUVs), AUVs for oceanographic research [9] , and rescue robots [10] have benefited from the development of autonomy.","https://www.proquest.com/docview/2784548079?accountid=44943&bdid=84593&_bd=%2BpOG%2BQLtDqXqXWW25sMGclAGhr8%3D","https://doi.org/10.1109/MTS.2023.3241315"
"Anomaly detection for maritime navigation based on probability density function of error of reconstruction","","Sadeghi, Zahra; Matwin, Stan","Journal of Intelligent Systems","Scholarly Journals","","","1","2023-01-01","2023","","","","03341860","","","ENG","Anomaly detection is a fundamental problem in data science and is one of the highly studied topics in machine learning. This problem has been addressed in different contexts and domains. This article investigates anomalous data within time series data in the maritime sector. Since there is no annotated dataset for this purpose, in this study, we apply an unsupervised approach. Our method benefits from the unsupervised learning feature of autoencoders. We utilize the reconstruction error as a signal for anomaly detection. For this purpose, we estimate the probability density function of the reconstruction error and find different levels of abnormality based on statistical attributes of the density of error. Our results demonstrate the effectiveness of this approach for localizing irregular patterns in the trajectory of vessel movements.","https://www.proquest.com/docview/2889912424?accountid=44943&bdid=84593&_bd=CDsql5rpqJ8%2FiVv0l%2BAc0BAYDuM%3D","https://doi.org/10.1515/jisys-2022-0270"
"Developing and demonstrating a maturity model for smart ports","","Yassin Boullauazan; Sys, Christa; Vanelslander, Thierry","Maritime Policy and Management","Scholarly Journals","","50","4","2023-06-01","Jun 2023","447","465","447-465","03088839","","","ENG","Increasing congestion and the push for (i) a greener modal shift, (ii) more reliability and visibility of goods, and (iii) more sustainable activities in and related to the port are turning policymakers to the concept of the smart port. Such emerging concept describes a future state of the port that is adapted to these challenges. A smart port is a port that optimizes in-, intra- and outbound flow of goods and information, leads sustainable development and guarantees safe, resilient and secure activities through the capabilities of its (extended) port community and enabling technologies. However, turning a traditional port into a smart port is a strategic challenge for the port community at large. To contribute to this practically relevant and academic challenge, the present paper applies a literature review and the novel maturity model development methodology to develop a strategic tool. This newly-developed strategic tool (i) enhances the common understanding of the current and aspired maturity state, (ii) support decision-making of port policy and management actors and (iii) represent a maturation path for improvement for port communities. The case study results demonstrate the benefits and relevance of the tool. Finally, recommendations are made to apply this policy tool for digitalization strategy.","https://www.proquest.com/docview/2803109464?accountid=44943&bdid=84593&_bd=Lbf30dqmMizsqC7eFTesgjEHJBU%3D","https://doi.org/10.1080/03088839.2022.2074161"
"A hybrid deep learning model based on feature capture of water level influencing factors and prediction error correction for water level prediction of cascade hydropower stations under multiple time scales","","Ma, Xin; Hu, Hao; Ren, Yufeng","Journal of Hydrology","Undefined","Elsevier B.V.","617 p.129044-","","2023-02-01","Feb 2023","","","","0022-1694","0022-1694","","ENG","The operating conditions of large cascade hydropower stations are complex. Improving the water level prediction accuracy of large cascade hydropower stations is significant for flood control, shipping, irrigation, etc. A new hybrid model based on a refined deep residual shrinkage network and an optimized gated recurrent unit – long term memory network (GRU-LSTM) model is proposed for water level prediction at different time scales. First, to make the input data in the form of a feature map so the model can capture the weight characteristics of each influencing factor when the water level changes, the water level, flow rate, and hydroelectric power plant output data are constructed as high-dimensional feature inputs. To reduce the prediction error caused by downstream tributary backwater jacking, downstream tributary flow is added to the input data. At the same time, a semisoft threshold function with an adjustable function is inserted into the model to improve feature recognition accuracy, reduce deviation, and eliminate the noise of the original hydrological data. Second, an error weight correction function is used to adjust the error between the predicted water level and the observed water level so that the model can automatically adjust the weights of each influencing factor according to the evaluation results of water level prediction. In this process, the parameters of LSTM are optimized using the Archimedes optimization algorithm, and the output results of the LSTM and GRU networks are weighted to obtain a more accurate water level prediction. The proposed model achieves good accuracy and efficiency in downstream water level prediction of the Xiangjiaba Hydropower Station, outperforms existing hydrodynamic and artificial intelligence methods, and has robust scalability in flood forecasting and urban rainwater forecasting.","https://www.proquest.com/docview/2834209603?accountid=44943&bdid=84593&_bd=%2B6ENq%2BlpiniBH2VUXk5JLVwXZ28%3D","https://doi.org/10.1016/j.jhydrol.2022.129044"
"A human-centred design approach for the development and conducting of maritime cyber resilience training","","Erstad Erlend; Hopcraft Rory; Vineetha, Harish Avanthika; Tam, Kimberly","WMU Journal of Maritime Affairs","Scholarly Journals","","22","2","2023-01-01","2023","241","266","241-266","1651436X","","","ENG","Abstract Due to the increase in the digitalization on board ships, the potential consequences of a cyber-induced incident can threaten the safety of the ships. A known challenge in the maritime industry is communication between ship owner management onshore and the crew on board a ship, especially during incident handling. To mitigate this issue and enhance cooperation in the digital age, crew and ship owner management need to meet, train for, and discuss cyber risks and their challenges. One way to enhance cohesive teams and effective communication is through the application of a human-centred design (HCD) approach to holistic team training. This paper proposes how simulator instructors should utilise HCD for the development of maritime cyber resilience training, tailored to a variety of maritime stakeholders including ship’s crew and onshore support personnel. To do this, this paper will explore relevant learning theories and current maritime and cyber-related training methods. The paper will then demonstrate, through a practical application, the effectiveness of adopting HCD when designing maritime cyber resilience training. This application will argue that maritime simulators present an effective training solution for new cyber-related incidents. The authors demonstrate the application of HCD by showcasing a ballast water handling system cyber incident designed for the simulator. The development of such a training resource allows all participants to experience the consequences of a cyber-attack in a safe environment whilst enhancing their ability to respond (i.e. communicate with each other) effectively.","https://www.proquest.com/docview/2823641953?accountid=44943&bdid=84593&_bd=D51onWJYfvUo%2BY7YFz1%2FduZHPKM%3D","https://doi.org/10.1007/s13437-023-00304-7"
"Assessing autonomous ship navigation using bridge simulators enhanced by cycle-consistent adversarial networks","","Brandsæter Andreas; Osen, Ottar L","Proceedings of the Institution of Mechanical Engineers","Scholarly Journals","","237","2","2023-04-01","Apr 2023","508","517","508-517","1748006X","","","ENG","The advent of artificial intelligence and deep learning has provided sophisticated functionality for sensor fusion and object detection and classification which have accelerated the development of highly automated and autonomous ships as well as decision support systems for maritime navigation. It is, however, challenging to assess how the implementation of these systems affects the safety of ship operation. We propose to utilize marine training simulators to conduct controlled, repeated experiments allowing us to compare and assess how functionality for autonomous navigation and decision support affects navigation performance and safety. However, although marine training simulators are realistic to human navigators, it cannot be assumed that the simulators are sufficiently realistic for testing the object detection and classification functionality, and hence this functionality cannot be directly implemented in the simulators. We propose to overcome this challenge by utilizing Cycle-Consistent Adversarial Networks (Cycle-GANs) to transform the simulator data before object detection and classification is performed. Once object detection and classification are completed, the result is transferred back to the simulator environment. Based on this result, decision support functionality with realistic accuracy and robustness can be presented and autonomous ships can make decisions and navigate in the simulator environment.","https://www.proquest.com/docview/2793657668?accountid=44943&bdid=84593&_bd=rd9QSFck4DKE4qv0JWw7vVLV0Hk%3D","https://doi.org/10.1177/1748006X211021040"
"Construction of enterprise business management analysis framework based on big data technology.","","Peng, Jinqian; Bao, Liyuan","Heliyon","Undefined","","9","6","2023-06-01","June 2023","e17144","e17144","e17144","2405-8440","2405-8440","","ENG","With the development of science and technology, people have added a new concept big data, which is the most concerned topic at present, and has also brought great changes to the business management environment of enterprises. At present, most of the business administration work of enterprises is mainly based on human resources, and the enterprise activities are managed through the professional knowledge of relevant management personnel. However, due to human subjective factors, the management effect is unstable. Therefore, this paper designed an enterprise business management system based on intelligent data technology, and constructs an enterprise business management analysis framework. The system can help managers to make the best plan when implementing management measures, improve the efficiency of production management, sales management, financial management, personnel organization structure management, etc., so as to make business management more scientific. The experimental results showed that the improved C4.5 algorithm in the business management system proposed in this paper reduced the fuel consumption cost of shipping company A by 220.21 yuan at least and 11050.12 yuan at most, which reduced the fuel consumption cost of the company's five voyages by 13349.09 yuan in total. This indicates that the improved C4.5 algorithm has higher accuracy and better time efficiency compared to traditional C4.5 algorithms. At the same time, the optimized ship speed management effectively reduces the fuel consumption cost of flights and improves the company's operating profit. The article proves the feasibility of improved algorithms based on decision trees in enterprise business management systems, and has a good decision support effect.","https://www.proquest.com/docview/2831299440?accountid=44943&bdid=84593&_bd=BXdxJGvsbYWG11au1lz%2BxY5uSOk%3D","https://doi.org/10.1016/j.heliyon.2023.e17144"
"Predicting maritime accident consequence scenarios for emergency response decisions using optimization-based decision tree approach","","Li, Baode; Lu, Jing; Lu, Han; Li, Jing","Maritime Policy and Management","Scholarly Journals","","50","1","2023-01-01","Jan 2023","19","41","19-41","03088839","","","ENG","Emergency response decision-making for maritime accidents needs to consider the possible consequences and scenarios of an accident to develop an effective emergency response strategy to reduce the severity of the accident. This paper proposes a novel machine learning-based methodology for predicting accident scenarios and analysing its factors to assist emergency response decision-making from an emergency rescue perspective. Specifically, the accident data used are collected from maritime accident investigation reports, and then two types of decision tree (DT) algorithms, classification and regression tree (CART) and random forest (RF), are used to develop scenario prediction models for three accident consequences including ship damage, casualty, and environmental damage. The hyper-parameters of these two DT algorithms are optimized using two state-of-the-art optimization algorithms, namely random search (RS) and Bayesian optimization (BO), respectively, aiming to obtain the prediction model with the highest accuracy. Experimental results reveal that BO-RF algorithm produces the best accuracy as compared to others. In addition, an analysis of feature importance shows that the number of people involved in an accident is the most important driving factor affecting the final accident scenario. Finally, decision rules are generated from the obtained optimal prediction model, which can provide decision support for emergency response decisions.","https://www.proquest.com/docview/2763163400?accountid=44943&bdid=84593&_bd=4%2FYbuwikARH0jamn4afJpEHv%2FmU%3D","https://doi.org/10.1080/03088839.2021.1959074"
"Younger Members' Council: What does the future hold for young mariners?","","Sinnott, Brian, MNI","Seaways","Scholarly Journals","","","","2023-06-01","Jun 2023","4","","","0144-1019","","","ENG","Sinnott discusses the future of young mariners. As the maritime industry continues to evolve, he feels the future for young seafarers is very exciting. With new technologies and practices emerging, and the industry undergoing significant changes, it is important to be aware of the trends and opportunities that lie ahead. One of the most significant movements in the maritime industry is the development of automation and remote operations. Advancements in autonomous vessel technology and remote monitoring systems have the potential to greatly reduce the need for crew on board vessel. This could have implications for the future of traditional employment within the industry and the role of young seafarers as they progress through their careers. To succeed in the maritime industry of the future, young mariners will need to be adaptable, innovative, and forward-thinking.","https://www.proquest.com/docview/2832837929?accountid=44943&bdid=84593&_bd=03OZcR3ppbVx5dyqabE0Q7QLqPo%3D",""
"Faster RCNN mixed-integer optimization with weighted cost function for container detection in port automation.","","Bandong, Steven; Nazaruddin, Yul Yunazwin; Joelianto, Endra","Heliyon","Undefined","","9","2","2023-02-01","February 2023","e13213","e13213","e13213","2405-8440","2405-8440","","ENG","The development of port automation requires sensors to detect container movement. Vision sensors have recently received considerable attention and are being developed as AI advances, leading to various container motion detection methods. Faster-RCNN is a detection method that performs better precision and recall than other methods. Nonetheless, the detectors are set using the Faster-RCNN default parameters. It is of interest to optimized its parameters for producing more accurate detectors for container detection tasks. Faster RCNN requires mixed integer optimization for its continuous and integer parameters. Efficient Modified Particle Swarm Optimization (EMPSO) offers a method to optimize integer parameter by evolutionary updating the space of each candidate solution but has high possibility stuck in the local minima due to rapid growth of Gbest and Pbest space. This paper proposes two modifications to improve EMPSO that could adapt to the current global solution. Firstly, the non-Gbest and Pbest total position spaces are made adaptive to changes according to the Gbest and Pbest position spaces. Second, a weighted multiobjective optimization for Faster-RCNN is proposed based on minimum loss, average loss, and gradient of loss to give priority scale. The integer EMPSO with adaptive changes to Gbest and Pbest position space is first tested on nine non-linear standard test functions to validate its performance, the results show performance improvement in finding global minimum compared to EMPSO. This tested algorithm is then applied to optimize Faster-RCNN with the weighted cost function, which uses 1300 container images to train the model and then tested on four videos of moving containers at seaports. The results produce better performances regarding the speed and achieving the optimal solution. This technique causes better minimum losses, average losses, intersection over union, confidence score, precision, and accuracy than the results of the default parameters.","https://www.proquest.com/docview/2780767084?accountid=44943&bdid=84593&_bd=oFkBFU9%2FQ0Q5RG1Rh%2FB8H9gMyc0%3D","https://doi.org/10.1016/j.heliyon.2023.e13213"
"Marine and Fishery Big Data System Model: A Knowledge Management System Perspective","","Novi, Sofia Fitriasari; Willdan Aprizal Arifin; Armelita, Ayang; Luthfi Anzani; Dzikrillah, Afrizal; Aulia Maulida Rahmah; Sujana, Abdillah Aditama; Kisty, Hilda Maela; Salsabila Putri Fahriza","Advances in Science and Technology","Scholarly Journals","","126","","2023-03-01","Mar 2023","137","","137-144","16628969","","","ENG","The need for data on marine resources is increasing, Indonesia as one of the world's maritime countries plays a big role in this. The successful application of big data on marine resources is not only seen from the technology used in it but it is also must related to other system components. A qualitative approach is used in this study to produce a big data model that can be applied to marine resources. This research produces a big data model from the perspective of a Knowledge Management System (KMS) which consists of four elements or layers, namely organization, Big Data Process and Technology Information, and people as users. The integration of these four elements is expected to promote economic transformation and knowledge in the marine and fishery sectors.","https://www.proquest.com/docview/3091648853?accountid=44943&bdid=84593&_bd=Cj1ea0Zs9u%2FRQZJr%2B7CnxvtkwX4%3D","https://doi.org/10.4028/p-6v8e2d"
"Shipping code towards data in an inter-region serverless environment to leverage latency","","Sethi Biswajeet; Addya, Sourav Kanti; Bhutada, Jay; Ghosh, Soumya K","The Journal of Supercomputing","Scholarly Journals","","79","10","2023-01-01","2023","11585","11610","11585-11610","09208542","","","ENG","Serverless computing emerges as a new standard to build cloud applications, where developers write compact functions that respond to events in the cloud infrastructure. Several cloud service industries started adopting serverless for deploying their applications. But one key limitation in serverless computing is that it disregards the significance of data. In the age of big data, when applications run around a huge volume, to transfer data from the data side to the computation side to co-allocate the data and code, leads to high latency. All existing serverless architectures are based on the data shipping architecture. In this paper, we present an inter-region code shipping architecture for serverless, that enables the code to flow from computation side to the data side where the size of the code is negligible compared to the data size. We tested our proposed architecture over a real-time cloud platform Amazon Web Services with the integration of the Fission serverless tool. The evaluation of the proposed code shipping architecture shows for a data file size of 64 MB, the latency in the proposed code shipping architecture is 8.36 ms and in existing data shipped architecture is found to be 16.8 ms. Hence, the proposed architecture achieves a speedup of 2x on the round latency for high data sizes in a serverless environment. We define round latency to be the duration to read and write back the data in the storage.","https://www.proquest.com/docview/2814910211?accountid=44943&bdid=84593&_bd=2XXVKuUhthZJaS68fX3y%2FTOMREM%3D","https://doi.org/10.1007/s11227-023-05104-7"
"Estimates of monthly global solar irradiation using empirical models and artificial intelligence techniques based on air temperature in Southeastern Brazil","","Lyra, Gustavo Bastos; dos Santos, Cicero Manoel; Abreu, Marcel Carvalho; Lima, Allana Oliveira; de Souza, José Leonaldo; Lyra, Guilherme Bastos; Zanetti, Sidney Sára; Martins, Fabrina Bolzan","Theor Appl Climatol","Undefined","Springer Vienna","152","3-4 p.1031-1051","2023-05-01","May 2023","1031","1051","p. 1031-1051","0177-798X","0177-798X","","ENG","This study aimed to assess monthly average daily global solar irradiation ([Formula: see text] estimates in Southeastern Brazil from empirical models and artificial intelligence (AI) techniques using extreme air temperatures (maximum—Tₓ and minimum—Tₙ) and extraterrestrial solar irradiation ([Formula: see text]) and evaluate the geographic and climate factors in the performance of the models or the AI techniques. The [Formula: see text], Tₓ and Tₙ data series from 95 automatic weather stations of the Brazilian National Institute of Meteorology (INMET) were used. The Hargreaves-Samani (HS) and Bristow-Campbell (BC) models were fitted, and AI techniques (artificial neural network—ANN and support vector machines—SVM) were trained, and assessed according to local climate conditions. Three input schemes in the AI techniques were assessed: (i) [Formula: see text], Tₓ, and Tₙ; (ii) [Formula: see text] and air temperature amplitude (ΔT); and (iii) [Formula: see text], Tₓ, Tₙ, and ΔT. The coefficients of the HS (0.134 ≤ kᵣ ≤ 0.262) and BC (0.539 ≤ β₀ ≤ 0.796; 0.004 ≤ β₁ ≤ 0.843; 0.35 ≤ β₂ ≤ 2.60) models and their performance were influenced by climate, continentality/maritime effects, altitude and weather systems. The performance of the HS model was inferior to that of BC model and the SVM and ANN techniques. Overall, the SVN and ANN techniques performed better than the BC method. However, BC had similar or superior precision and accuracy to SVM and ANN for some climatic conditions and combinations of input variables. The quality of the [Formula: see text] series, the combination of input variables, and climate influenced the estimates of the SVM and ANN techniques.","https://www.proquest.com/docview/3040483236?accountid=44943&bdid=84593&_bd=XCMSPL4pHRUGbfsFokPaKL6Z2Bc%3D","https://doi.org/10.1007/s00704-023-04442-z"
